id	reason
rxn06348	Abstract
rxn06349	Abstract
rxn06350	MI
rxn06352	MI
rxn06355	Abstract
rxn06356	Abstract
rxn06357	Abstract
rxn06358	MI
rxn06361	MI
rxn06362	Abstract
rxn06363	Abstract
rxn06364	CI
rxn06365	Abstract
rxn06366	Abstract
rxn06367	Abstract
rxn06368	Abstract
rxn06369	MI
rxn06370	Abstract
rxn06372	Abstract
rxn06373	Abstract
rxn06374	MI
rxn06375	CI
rxn06376	Abstract
rxn06377	Abstract
rxn06378	Abstract
rxn06379	Abstract
rxn06380	MI
rxn06381	Abstract
rxn06382	Abstract
rxn06383	Abstract
rxn06384	Abstract
rxn06385	Abstract
rxn06386	Abstract
rxn06387	CI
rxn06388	Abstract
rxn06389	Abstract
rxn06390	Abstract
rxn06391	Abstract
rxn06392	Abstract
rxn06393	Abstract
rxn06394	Abstract
rxn06395	MI
rxn06396	Abstract
rxn06397	Abstract
rxn06398	Abstract
rxn06399	Abstract
rxn06400	Abstract
rxn06401	Abstract
rxn06402	CI
rxn06403	Abstract
rxn06404	MI
rxn06405	Abstract
rxn06408	CI
rxn06410	MI
rxn06411	MI
rxn06414	MI
rxn06415	MI
rxn06416	Abstract
rxn06417	Abstract
rxn06418	CI
rxn06419	MI
rxn06420	MI
rxn06421	MI
rxn06422	MI
rxn06423	Abstract
rxn06425	Abstract
rxn06426	CI
rxn06429	Abstract
rxn06430	Abstract
rxn06431	MI
rxn06432	MI
rxn06433	MI
rxn06434	MI
rxn06435	MI
rxn06436	MI
rxn06437	MI
rxn06438	MI
rxn06439	MI
rxn06440	MI
rxn06441	MI
rxn06442	MI
rxn06443	MI
rxn06444	MI
rxn06445	MI
rxn06446	MI
rxn06447	MI
rxn06448	MI
rxn06449	MI
rxn06450	MI
rxn06453	Abstract
rxn06457	MI
rxn06460	MI
rxn06462	MI
rxn06463	MI
rxn06464	MI
rxn06466	MI
rxn06467	OBS
rxn06471	MI
rxn06472	Abstract
rxn06473	Abstract
rxn06474	Abstract
rxn06475	MI
rxn06476	Abstract
rxn06477	MI
rxn06478	Abstract
rxn06481	Abstract
rxn06482	MI
rxn06483	MI
rxn06484	MI
rxn06485	CI
rxn06486	MI
rxn06487	Abstract
rxn06491	MI
rxn06492	MI
rxn06493	Abstract
rxn06494	CI
rxn06497	MI
rxn06498	MI
rxn06500	CI
rxn06501	MI
rxn06502	MI
rxn06504	Abstract
rxn06505	MI
rxn06506	MI
rxn06509	Abstract
rxn06511	MI
rxn06512	MI
rxn06513	OBS
rxn06514	MI
rxn06515	Abstract
rxn06516	Abstract
rxn06517	Abstract
rxn06519	MI
rxn06520	MI
rxn06521	MI
rxn06522	CI
rxn06525	Abstract
rxn06526	Abstract
rxn06527	Abstract
rxn06528	Abstract
rxn06529	MI
rxn06533	MI
rxn06534	MI
rxn06535	MI
rxn06536	MI
rxn06537	Abstract
rxn06539	Abstract
rxn06543	MI
rxn06546	Abstract
rxn06547	CI
rxn06549	Abstract
rxn06550	Abstract
rxn06553	CI
rxn06554	Abstract
rxn06555	Abstract
rxn06558	Abstract
rxn06559	Abstract
rxn06560	Abstract
rxn06561	Abstract
rxn06562	CI
rxn06563	CI
rxn06565	MI
rxn06566	MI
rxn06568	MI
rxn06569	Abstract
rxn06570	Abstract
rxn06572	MI
rxn06573	Abstract
rxn06574	Abstract
rxn06575	Abstract
rxn06576	Abstract
rxn06577	Abstract
rxn06578	Abstract
rxn06580	MI
rxn06581	Abstract
rxn06583	MI
rxn06584	Abstract
rxn06585	MI
